channel_title,category_id,category_name,publish_day,publish_month,publish_season,publish_hour_category,title_sentiment_label,description_sentiment_label,tags_sentiment_label,len_title,desc_len,No_tags,has_tags,is_weekend_publish_day,publish_hour,title_sentiment,description_sentiment,tags_sentiment,channel_avg_views,channel_median_views,channel_video_count,channel_historical_avg,views,views_log,views_category
Film City,24,Entertainment,Saturday,May,Spring,Evening,Negative,Positive,Negative,58,321,22,1,1,20,-0.5,0.375,-0.3727272727272728,48302.0,48121.5,4,307836.0,38068,10.547155581629395,Low
Film City,24,Entertainment,Saturday,May,Spring,Evening,Negative,Positive,Negative,58,321,22,1,1,20,-0.5,0.375,-0.3727272727272728,48302.0,48121.5,4,38068.0,58175,10.971228177537151,Low
YRF,1,Film & Animation,Tuesday,November,Fall,Morning,Neutral,Neutral,Positive,63,901,22,1,0,6,0.0,0.08333333333333333,0.5,6170802.946236559,2790320.0,93,307836.0,35885754,17.3958509780565,High
YRF,1,Film & Animation,Tuesday,November,Fall,Morning,Neutral,Neutral,Positive,63,901,22,1,0,6,0.0,0.08333333333333333,0.5,6170802.946236559,2790320.0,93,35885754.0,38664360,17.470428829314287,High
YRF,1,Film & Animation,Tuesday,November,Fall,Morning,Neutral,Neutral,Positive,63,901,22,1,0,6,0.0,0.08333333333333333,0.5,6170802.946236559,2790320.0,93,37275057.0,37533416,17.44074221412893,High
Business Of Cinema,24,Entertainment,Wednesday,November,Fall,Morning,Neutral,Positive,Negative,87,1748,14,1,0,11,-0.04999999999999999,0.10892857142857142,-0.21666666666666667,2664065.0,2664065.0,1,307836.0,2664065,14.795364085110302,High
Health Tips for You,26,Howto & Style,Wednesday,November,Fall,Afternoon,Positive,Positive,Positive,103,103,14,1,0,12,0.2333333333333333,0.2333333333333333,0.2333333333333333,499543.0625,376981.5,16,307836.0,743321,13.51888460801519,High
Viacom18 Motion Pictures,24,Entertainment,Wednesday,November,Fall,Afternoon,Neutral,Positive,Neutral,91,452,7,1,0,15,0.0,0.5,0.0,2702387.724137931,1977403.0,29,307836.0,662980,13.40450161114047,High
Trend Music,10,Music,Wednesday,November,Fall,Afternoon,Neutral,Positive,Positive,96,1450,21,1,0,17,0.0,0.2533333333333333,0.13636363636363635,438357.5483870968,411363.0,31,307836.0,1205088,14.00206398110062,High
Arre,24,Entertainment,Thursday,November,Fall,Morning,Neutral,Positive,Positive,90,670,22,1,0,6,0.0,0.48,0.17424242424242423,855196.3214285715,923082.5,28,307836.0,1385906,14.141865356913609,High
FilterCopy,23,Comedy,Thursday,November,Fall,Morning,Neutral,Positive,Positive,70,1062,45,1,0,6,0.0,0.2125,0.31666666666666665,1062668.4670329671,847095.0,182,307836.0,1014724,13.830128197787655,High
Zakir Khan,22,People & Blogs,Thursday,November,Fall,Morning,Neutral,Neutral,Positive,51,215,8,1,0,10,0.0,0.047619047619047616,0.25,1236195.574468085,1197056.0,47,307836.0,1406559,14.156657565085006,High
Zakir Khan,22,People & Blogs,Thursday,November,Fall,Morning,Neutral,Neutral,Positive,51,215,8,1,0,10,0.0,0.047619047619047616,0.25,1236195.574468085,1197056.0,47,1406559.0,1353040,14.117865209724101,High
Ed Sheeran,10,Music,Thursday,November,Fall,Morning,Positive,Positive,Positive,43,1250,10,1,0,11,1.0,0.2,0.13636363636363635,15135750.705882354,14815407.0,17,307836.0,39082222,17.481178266837336,High
Ed Sheeran,10,Music,Thursday,November,Fall,Morning,Positive,Positive,Positive,43,1250,10,1,0,11,1.0,0.2,0.13636363636363635,15135750.705882354,14815407.0,17,39082222.0,33523622,17.32776091246296,High
Dream Warrior Pictures,1,Film & Animation,Thursday,November,Fall,Morning,Neutral,Positive,Positive,86,1016,19,1,0,11,0.0,0.8,0.5,282095.44444444444,179599.0,9,307836.0,696515,13.453846043941017,High
Anokhe totke,22,People & Blogs,Thursday,November,Fall,Afternoon,Neutral,Positive,Neutral,76,182,12,1,0,12,0.0,0.5,0.0,367797.0,367797.0,1,307836.0,367797,12.815289153399672,Medium
ABC Malayalam,22,People & Blogs,Thursday,November,Fall,Afternoon,Negative,Positive,Neutral,73,53,1,1,0,17,-0.6,0.5,0.0,126463.6,120319.0,25,307836.0,206015,12.23570911465848,Medium
Dil Raju,24,Entertainment,Friday,November,Fall,Night,Neutral,Neutral,Positive,91,449,22,1,0,4,0.0,0.08333333333333333,0.15714285714285717,2775955.109090909,2655637.0,55,307836.0,6106669,15.624892174393528,High
Dil Raju,24,Entertainment,Friday,November,Fall,Night,Neutral,Neutral,Positive,91,449,22,1,0,4,0.0,0.08333333333333333,0.15714285714285717,2775955.109090909,2655637.0,55,6106669.0,6526627,15.691400981968313,High
Dil Raju,24,Entertainment,Friday,November,Fall,Night,Neutral,Neutral,Positive,91,449,22,1,0,4,0.0,0.08333333333333333,0.15714285714285717,2775955.109090909,2655637.0,55,6316648.0,6946197,15.753705017494621,High
Dil Raju,24,Entertainment,Friday,November,Fall,Night,Neutral,Neutral,Positive,91,449,22,1,0,4,0.0,0.08333333333333333,0.15714285714285717,2775955.109090909,2655637.0,55,6526497.666666667,6756057,15.725950141834494,High
Pradeep Machiraju,22,People & Blogs,Friday,November,Fall,Night,Neutral,Positive,Positive,91,295,18,1,0,5,0.0,0.65,0.40909090909090906,427821.45454545453,375620.0,33,307836.0,1025941,13.841121772900534,High
Kumar Films,10,Music,Friday,November,Fall,Night,Neutral,Positive,Positive,33,4071,14,1,0,5,0.0,0.3158333333333334,0.5,141516.0,114214.0,3,307836.0,204389,12.227785212435824,Medium
My Village Show,23,Comedy,Friday,November,Fall,Morning,Neutral,Positive,Neutral,43,755,8,1,0,8,0.0,0.12222222222222223,0.0,402206.4736842105,335339.0,76,307836.0,748248,13.525491089262331,High
TheViralFeverVideos,24,Entertainment,Friday,November,Fall,Morning,Neutral,Positive,Neutral,41,547,16,1,0,9,0.0,0.39999999999999997,0.05,898648.8421052631,865730.0,19,307836.0,1174353,13.976228767137936,High
TheViralFeverVideos,24,Entertainment,Friday,November,Fall,Morning,Neutral,Positive,Neutral,41,547,16,1,0,9,0.0,0.39999999999999997,0.05,898648.8421052631,865730.0,19,1174353.0,1257923,14.044973301063031,High
Sharmaji Technical,28,Science & Technology,Friday,November,Fall,Morning,Positive,Positive,Neutral,86,564,16,1,0,10,0.25,0.19318181818181818,0.0,166620.0,133596.0,68,307836.0,308383,12.639101038651013,Medium
Sony Music India,10,Music,Friday,November,Fall,Morning,Neutral,Positive,Positive,70,2049,16,1,0,11,0.0,0.1419642857142857,0.2142857142857143,4435611.070175438,1763291.0,114,307836.0,1449239,14.186549839057422,High
Madras Central,24,Entertainment,Friday,November,Fall,Morning,Neutral,Neutral,Neutral,74,135,10,1,0,11,-0.08333333333333333,0.0,-0.08333333333333333,360600.3211009174,220406.0,109,307836.0,868921,13.675008641876085,High
Think Music India,10,Music,Friday,November,Fall,Afternoon,Neutral,Positive,Positive,89,1678,17,1,0,13,0.0,0.32272727272727275,0.27878787878787875,915175.0241935484,636951.5,124,307836.0,544102,13.206893846151152,Medium
Think Music India,10,Music,Friday,November,Fall,Afternoon,Neutral,Positive,Positive,89,1678,17,1,0,13,0.0,0.32272727272727275,0.27878787878787875,915175.0241935484,636951.5,124,544102.0,603817,13.31102810700629,High
Abish Mathew,23,Comedy,Friday,November,Fall,Afternoon,Neutral,Neutral,Neutral,40,406,10,1,0,14,0.0,0.0,0.0,552346.4390243902,479850.0,41,307836.0,779856,13.56686584852483,High
Abish Mathew,23,Comedy,Friday,November,Fall,Afternoon,Neutral,Neutral,Neutral,40,406,10,1,0,14,0.0,0.0,0.0,552346.4390243902,479850.0,41,779856.0,847058,13.649525628823325,High
